cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_727	11 years	1.3631966075373005	0	0	0	0	0	0	1.3631966075373005	0	1.3631966075373005	0	0	0	0
cell_728	11 years	0	0	0	0	0	0	0	2.3684235916406675	0	0	0	0	0	0
cell_729	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_730	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_731	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.3796562610407912	0
cell_732	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_733	11 years	0	0	0	1.676336748833419	0	0	0	0	0	0	0	0	0	0
cell_734	11 years	0	0	0	0	0	0	0	2.2623724939365224	0	0	0	0	0	0
cell_735	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_736	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_737	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_738	11 years	0	0	1.4885196067453481	0	0	0	0	0	0	0	0	0	0	0
cell_739	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_740	11 years	1.5068445127535721	0	0	0	0	2.0825540093964454	0	0	0	0	0	0	0	0
cell_741	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_742	11 years	0	0	0	0	0	0	0	2.0311065719069585	0	0	0	0	0	0
cell_743	11 years	0	0	0	2.363175744919124	2.363175744919124	0	0	0	0	0	0	0	0	0
cell_744	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_745	11 years	0	0	0	0	0	0	0	0	0	1.672461445726447	0	0	0	0
cell_746	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_747	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_748	11 years	0	0	1.274057019303135	0	0	0	0	1.274057019303135	0	0	0	0	1.8165588580250207	0
cell_749	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_750	11 years	0	0	0	0	0	0	0	1.5846270299575276	0	0	0	0	0	0
cell_751	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6630414903143547
cell_752	11 years	0	0	1.6429001126744052	0	0	0	0	0	0	0	0	0	0	0
cell_753	11 years	0	0	1.6075206726712297	0	0	0	0	0	0	0	0	0	0	0
cell_754	11 years	0	0	0	0	0	0	0	2.486007365364186	0	0	0	0	0	0
cell_755	11 years	2.398577370046407	1.2532989412093223	0	0	0	0	0	0	0	0	0	0	0	0
cell_756	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_757	11 years	0	0	1.4387525715844658	0	0	0	0	0	0	0	0	0	0	0
